date,cases,url,deaths2,rep_pos_rate2,in_hospital
3/14/2020,6,https://scdhec.gov/news-releases/dhec-announces-additional-six-cases-2019-novel-coronavirus-south-carolina,0,NA,NA
3/15/2020,9,https://scdhec.gov/news-releases/dhec-announces-additional-nine-cases-2019-novel-coronavirus-south-carolina,1,NA,NA
3/16/2020,5,https://scdhec.gov/news-releases/dhec-announces-additional-five-cases-2019-novel-coronavirus-south-carolina,0,NA,NA
3/17/2020,14,https://scdhec.gov/news-releases/dhec-announces-additional-14-cases-2019-novel-coronavirus-south-carolina,1,NA,NA
3/18/2020,13,https://scdhec.gov/news-releases/dhec-announces-13-additional-cases-2019-novel-coronavirus-south-carolina,0,NA,NA
3/19/2020,21,https://scdhec.gov/news-releases/dhec-announces-21-additional-cases-2019-novel-coronavirus-south-carolina,0,NA,NA
3/20/2020,45,https://scdhec.gov/news-releases/dhec-announces-45-additional-cases-2019-novel-coronavirus-south-carolina,1,NA,NA
3/21/2020,46,https://scdhec.gov/news-releases/south-carolina-announces-additional-46-cases-covid-19-urges-residents-take-prevention,1,NA,NA
3/22/2020,22,https://scdhec.gov/news-releases/south-carolina-announces-additional-22-cases-covid-19-continues-urge-residents-take,2,NA,NA
3/23/2020,103,https://scdhec.gov/news-releases/south-carolina-announces-additional-103-cases-covid-19-encourages-residents-protect,0,NA,NA
3/24/2020,44,https://scdhec.gov/news-releases/south-carolina-announces-additional-44-cases-covid-19,1,NA,NA
3/25/2020,82,https://scdhec.gov/news-releases/south-carolina-announces-additional-82-cases-covid-19,3,NA,NA
3/26/2020,32,https://scdhec.gov/news-releases/south-carolina-announces-two-deaths-related-covid-19-32-additional-cases,4,NA,NA
3/27/2020,86,https://scdhec.gov/news-releases/south-carolina-announces-four-deaths-related-covid-19-86-additional-cases,3,NA,NA
3/28/2020,121,https://scdhec.gov/news-releases/south-carolina-announces-two-additional-deaths-related-covid-19-121-new-cases,6,NA,NA
3/29/2020,113,https://scdhec.gov/news-releases/south-carolina-announces-one-additional-death-related-covid-19-113-new-cases,3,NA,NA
3/30/2020,151,https://scdhec.gov/news-releases/south-carolina-announces-two-additional-deaths-related-covid-19-151-new-cases,4,NA,NA
3/31/2020,158,https://scdhec.gov/news-releases/south-carolina-announces-four-additional-deaths-related-covid-19-158-new-cases,2,NA,NA
